gene_id,gene_short_name,PS_cEpiblast,NP_Epiblast,Induced_5hrs,Induced_9hrs,Induced_12hrs,FC_0hrs,FC_5hrs,FC_9hrs,FC_12hrs,FC_PS,FC_NP
ENSGALG00000039681,HIF3A,3.7781,6.00007,4.07251,4.80778,4.17197,0.866077677,1.04889689,1.237409146,0.961660097,1.751001075,0.894770278
ENSGALG00000039685,GMEB2,11.9738,10.4677,8.53099,7.35428,8.60557,0.942198971,1.010515007,0.704412708,0.986455335,0.845565544,1.198498742
ENSGALG00000039728,SHOX2,0,0.119963,0.404534,0.0816755,0.0443383,0.21853812,0.727203764,0.264680053,0.078962056,0,0.478386225
ENSGALG00000039878,TFEB,2.1689,2.31086,3.46878,6.03913,4.49017,2.358959058,0.285113798,0.525406727,0.353403644,0.321626804,0.167610302
ENSGALG00000039982,IRF5,0.406484,0.516286,0.289763,0.4211,0.532141,2.090687907,1.217036486,2.541109737,3.306640734,1.397668741,0.83043165
ENSGALG00000040017,THRA,6.05655,5.42843,8.2901,9.0203,7.05882,1.332673912,0.484410242,0.623444034,0.595003161,0.966240492,0.412043812
ENSGALG00000040021,HOXA11,0,0,0,0,0,0.0341864,0,0,0,0,0
ENSGALG00000040060,NRF1,15.3522,14.8845,8.63844,9.54266,6.87179,1.205171304,1.662619715,1.323494494,1.042537181,1.078202364,1.502038946
ENSGALG00000040069,BARHL2,0,0.150355,0,0,0.083136,1,0,0,0.083136,0,7.644884428
ENSGALG00000040079,ZFPM2,0.243513,0.308657,0.499321,0.858202,0.654412,1.263061237,0.641552561,0.75141799,0.585168957,1.08380214,0.103373244
ENSGALG00000040180,CEBPD,1.59985,0.371977,2.51103,5.40882,3.12465,2.823259778,0.253192343,0.153523581,0.063156395,0.055872585,0.027457446
ENSGALG00000040249,BHLHE22,0.348538,0.963307,0.280849,0.340119,0.626254,2.090518392,0.353366969,0.230174059,0.359546214,1.112764911,0.075032091
